text,translation,num_words,author,source,page,line
"Afos-afos, i té fini pa mété tout konfians-li adan lanmou-tala.","Au bout du compte, elle avait fini par mettre toute sa confiance dans cet amour..",14,H. Bartéléry,T. A.,8,47
Tejkpa an Afrik oben l’Anmérik.,Quelque part en Afrique ou en Amérique.,8,Joby Bernabé,Konm.,8,51
Ou pa sav Tigana afritjen alow ?,Tu ne sais donc pas que Tigana est africain ?,11,G. Mauvois,M.M.,8,55
I wè i pé afwonté montay-la.,Il s’aperçoit qu’il peut affronter la montagne.,10,I. Césaire,C. N.J.,9,5
Man ka konpwann poutji sitiyasion-tala sitelman agasan.,Je comprends pourquoi cette situation est si agaçante.,7,,,9,9
"Fanm Matinik dou, yo bel, yo joli, yo tout cho, yo tout agasan.","Les femmes de la Martinique sont douces, elles sont belles, elles sont toutes attirantes.",17,N. Rosette,O. L.N.,9,14
Man té sèten ou té key agasé’y.,J’étais sûr que tu l’agacerais.,7,,,9,18
"E tou sa, sé té anni pou agasé lapéti sé gwo misié-a.","Et tout cela, c’était pour exciter l’appétit de ces messieurs importants.",16,I. Césaire,C. N.J.,9,22
"Lè nou té piti, nou té ka jwé agat tout lajounen.","Quand nous étions petits, nous jouions aux billes toute la journée.",11,,,9,28
Ou gadé adwet agoch pou wè es té ni an brènman.,Tu as regardé à droite et à gauche pour voir s’il y avait quelque chose qui bougeait.,14,R. Confiant,Bitak.,9,36
Sé agodonm-dachin i ka kriyé mwen.,Il me traite de lourdaud.,8,R.Confiant,K.Y.,9,42
Man té ka valé'y an manniè ki agoulou.,Je l'avalais d'une manière vorace.,10,R.Confiant,Maris.,9,47
Sa ki té agréjé menyen bek-mè épi janbet.,Ceux qui étaient des agrégés dans l’art de manier le bec d’espadon ou le canif.,12,G-H. Léotin,M. L.,10,5
"Lè aksidan-an fet, i koumansé agrésé mwen.","Lorsque l’accident s’est produit, il a commencé à m’agresser.",7,,,10,9
Lapolis pa janmen ritouvé sé agrésè-a.,La police n’a jamais retrouvé les agresseurs.,6,,,10,13
Fout kay-tala agréyab !,Comme cette maison est agréable !,4,,,10,17
Sé agrikiltè ki té ka konstwi lakanpay.,Ce sont les agriculteurs qui construisaient à la campagne.,13,Gwoup Rasin Kas,L. K. T.,10,21
Ou pé ké fè mwen konpwann pa rété tè agrikol anba-a ?,"Tu ne feras pas croire que là-bas, il n’existe plus de terres agricoles.",15,J. Florentiny,Dod.,10,27
Sa ki batjé adan pòyò apré’y pa ni tan bénéfisié konsey enjéniè agwonom.,Ceux qui se sont embarqués dans la production de bananes après lui n’ont pas eu le temps de bénéficier des conseils des ingénieurs agronomes.,13,R. Confiant,K.Y.,10,31
Man pa sav si matant-ou pli ajé ki manman-mwen.,Je ne sais pas si ta tante est plus âgée que ma mère.,9,,,10,39
"Si ou pa ajen, yo pé ké pé fè priz san-an ba’w.","Si tu n’es pas à jeun, on ne pourra pas te faire de prise de sang.",12,,,10,43
Malfétè selman ki pé aji kon i ka fè a.,Seuls les malfaiteurs peuvent agir comme lui.,13,C. Boulard,Beaur.,10,47
Ajijé-wè zéklè nan fétay bwa.,Aller voir les éclairs au faîte des arbres.,7,Monchoachi,K.L.,10,51
Sé ajistaj yich-mwen an ka apwann lékol.,Mon enfant étudie l’ajustage à l’école.,7,,,10,56
Ou sé di chimiz Ektò a pa ajisté konmifo.,On aurait dit que la chemise d’Hector n’est pas ajustée comme il faut.,9,,,10,60
I travay ven lanné kon ajistè adan lizin Larenti-a.,Il a travaillé vingt ans comme ajusteur à l’usine du Lareinty.,9,,,11,2
"An moman ka pasé, an ka tann Dodin ka ajité.","Un moment passe, j’entends Dodine s’agiter.",13,J. Florentiny,Dod.,11,8
I ajouté lamenm asou pawol-li…,Il ajouta aussitôt les propos suivants...,9,T. Léotin,L. L.,11,24
Fok nou mandé notè-a ak-la.,Il faut que nous demandions l’acte au notaire.,5,,,11,28
Ak-tala ankò pli pòtalan ba nou.,Cet acte est encore plus important pour nous.,9,H. Atine,A.S.D,11,32
Ou pa ka akablé an moun kon sa.,On n'accable pas quelqu'un comme ça.,12,G. Mauvois,M.M.,11,38
Pa kité lidé-a akaparé lespri’w.,Ne laisse pas cette idée t’accaparer l’esprit.,8,G. Mauvois,Ant.,11,47
Yo kondané sé akaparè tè Fon Brilé a.,Les accapareurs de terre de Fond Brûlé ont été condamnés.,8,,,11,51
I vini akariat ankò plis.,Il est devenu encore plus acariâtre.,9,T. Léotin,L. E.,11,55
"Akérè-a ka doubout ; adan senti'y, lis-la i kay machandé a.","L'acquéreur se lève, à sa ceinture, la liste qu'il marchandera.",14,E. Glissant,Léz.,12,8
Akey-la pa djè bon adan sé lotel Matinik la.,L’accueil n’est guère bon dans les hôtels de la Martinique.,9,,,12,14
"Sé moun-lan akéyan, san ou mandé ayen, yo ka fè'w vizité péyi-yo an tout sans.","Les gens sont accueillants, sans que vous demandiez quoi que ce soit, ils vous font visiter leur pays en tous sens.",15,Jala,A.T.K.P.,12,18
Matinitjé pa ka djè akéyi touris bien.,Les Martiniquais n’accueillent guère les touristes correctement.,7,,,12,24
Ou sé pé achté an aki nef ba loto’w la.,Tu aurais pu acheter une batterie neuve pour ta voiture.,10,,,12,28
"Ou ké di : « Akikongo, djab-la dèwò ! »","Tu diras : « Akikongo, voici le diable ! »",14,I. Césaire,C. N.J.,12,33
"Si do’w ka kontinié fè’w mal, fok ou wè an akiponktè.","Si ton dos continue à te faire souffrir, il faut que tu vois un acupuncteur.",11,,,12,37
Doktè-mwen an fè an staj akiponkti an Chin.,Mon médecin a fait un stage d’acupuncture en Chine.,8,,,12,41
Yo ké akité'y !,Il sera acquitté !,8,T. Léotin,L. E.,12,46
Ou ka pwan kò’w pou an akizatè piblik oben ki sa ?,Tu te prends pour un accusateur public ou quoi ?,12,,,12,56
Alé fè zafè'w é pa akizé mwen.,Va t'occuper de tes affaires et ne m'accuse pas.,11,Jala,A.T.K.P.,12,60
Lot mòso an akò anfen déklaré.,L'autre partie d'un accord enfin commué.,9,E. Glissant,Léz.,13,6
Sé li yonn ki konnet akòdé pianno.,Il est le seul à savoir accorder les pianos.,7,,,13,10
Akondi sé an patjé rad sal.,Comme un paquet de hardes sales.,9,M. Orel,Anth.,13,34
Fok i té ni dé akonpayatè ek li.,Il lui fallait deux accompagnateurs.,11,H. Atine,A.S.D.,13,42
Tonton’w mandé nou akonpayé’y Nou-Yok.,Ton oncle nous a demandé de l’accompagner à New-York.,5,,,13,46
An mision éti yo té ni pou akonpli.,Une mission qu'elles devaient accomplir.,11,H. Atine,A.S.D.,13,50
Asou an ti wotè ki akoté.,Sur une petite éminence qui se trouve à côté.,9,G. Mauvois,Ant.,13,56
Man té ka touvé kay-la bidim akoté sa man té abitié wè.,Je trouvais la maison énorme par rapport à celles auxquelles j'étais habituée.,15,G-H. Léotin,M.L.,13,60
Sé fanm ki té akouchez.,Ce sont des femmes qui étaient accoucheuses.,9,H. Atine,A.S.D.,14,7
"Lè akouchman-an fet, papa’w té Fod-Fwans toujou.","Quand l’accouchement s’est produit, ton père se trouvait encore à Fort-de-France.",7,,,14,11
Lapech kribich épi akoupa sé bagay Lasous Kako menm.,La pèche aux écrevisses et aux acoupas c’est l’affaire de Lasous Kako.,9,H. Atine,Antilla. K. n° 13,14,16
Yo ka jis maché akoupi.,Ils marchent même accroupis.,9,M.-TH. Lung-Fou,P. D.,14,21
Jik a ki pwen yo ka akowdé'y an gran enpowtans.,Jusqu'à quel point ils lui accordent une grande importance.,13,H. Atine,A.S.D.,14,26
"Jijé si neg dwé, lasou latè, mimiré akoz malè.","Imaginez si les nègres doivent, sur cette terre, protester à cause du malheur.",12,F. Marbot,Bamb.,14,36
A ki lè lanmen-nou vini akrek kon sa ?,A quel instant mos mains devinrent-elles aussi avides ?,11,Monchoachi,Nst.,14,46
"Akrétonnè ! Si man té sav, janmen man pa té key tiré misié an dlo.","Bon sang ! Si je savais, jamais je n’aurais tiré ce type d’affaire.",15,G. Mauvois,D. J.,14,51
I pa janmen ped ti aksan anglé’y la.,Il n’a jamais perdu son petit accent anglais.,8,,,14,56
Yo pé pa ni aksè a pawti kosmik la.,Elles peuvent ne pas avoir accès à la partie cosmique.,12,H. Atine,A.S.D.,14,60
Sé davwè aksélératè-a rété blotjé i fè rankont-tala,Il a fait cet accident parce que l’accélérateur est resté bloqué.,8,,,15,3
Akséléré loto-a ! Mwen pa lé rivé an vil lanné pwochenn.,Accélère la voiture ! Je ne veux pas arriver en ville l’année prochaine.,14,V. Placoly,D.J.,15,7
"Dan konkouw, yo pa janmen ba’w an aksési.","Dans les concours, tu n’as jamais obtenu un accessit.",11,V. Coridun,Carn.,15,13
Loto-tala aksésib anni pou moun ki ni gwo lajan.,Cette voiture n’est accessible qu’aux gens très riches.,9,,,15,17
"Ni lé manman aksidan, yo pòò té paré épi yich-la rivé.","Il y a les mères par accident, elles n'étaient pas prêtes et l'enfant est arrivé.",13,Jala,A.T.K.P,15,21
Sé moun-lan vòlè fa loto aksidanté a.,Les gens ont volé les phares de la voiture accidentée.,7,,,15,25
Misié fè telman mové aksion ki i dwet lajol atjèman.,Ce type a fait tellement de mauvaises actions qu’il doit être en prison à présent.,10,,,15,29
Sé aksionnè-a pa dakò pou wosé kapital-la.,Les actionnaires ne sont pas d’accord pour augmenter le capital.,7,,,15,33
I pa érisi kariè aktè’y.,Il n’a pas réussi sa carrière d’acteur.,5,,,15,39
Yo toujou di mwen Akti sé an boug donan.,On m’a toujours dit qu’Arthur est quelqu’un de généreux.,9,,,15,44
I pa té ka imajinen té ni sitelman aktivité pabò kay-li kon sa.,Il ne s'imaginait pas qu'il y avait autant d'activité autour de chez lui.,16,R. Confiant,K.Y.,15,50
Sa ki pli bel aktris Matinik ?,Quelle est la plus belle actrice de la Martinique ?,7,,,15,54
Sé li ka otjipé di ribrik « aktialité » jounal-la.,C’est lui qui s’occupe de la rubrique « actualité » du journal.,10,,,15,58
Léta ba yo anlo lajan pou dévlopé akwakilti-a.,L’Etat leur a donné beaucoup d’argent pour développer l’aquaculture.,8,,,16,3
Moun rété dwet pitjet akwèdi bef ki bwè dlo fwet.,Les gens sont restés figés tels des bœufs venant de boire de l’eau froide.,13,R. Confiant,K.Y.,16,9
I soté asou do Léfan épi i akwoché kò’y adan chanbranl lapot-la.,Il sauta sur le dos de l’éléphant et s’accrocha au chambranle de la porte.,12,M.Th. Lung-Fou,C. C.,16,14
Magrési i pòkò té alabébétoum.,Bien qu’il ne fût pas encore retombé en enfance.,8,R. Confiant,K.Y.,16,21
"Aladous, kòtòkòtò, man ka monté leskalié-a.","Doucement, à petits pas, je monte l’escalier.",9,J-M. Rosier,Lk.,16,25
I pa té lé kité kò-a aladriv ba zibié ek chien voras.,Il ne voulait pas laisser le corps à la merci des oiseaux et des chiens voraces.,15,G. Mauvois,Ant.,16,32
"Palé, alafen. Apré, ou key fini épi sa.",Parle à la fin ! Après tu en auras fini.,11,G. Mauvois,Ant.,16,36
"Alafendéfen, lanmanniè mòso tè Sentil té bel, tout moun vini tjirié di sa.","A la fin des fins, le bout de terrain de Sintil était si beau que cela provoqua une curiosité générale.",13,G. Mauvois,K. L. K.,16,40
Men ou té pwan sa alafet.,Mais tu avais pris cela à la plaisanterie.,9,R. Confiant,Bitak.,16,46
Sé yon jé tout moun ka ranjé alafil.,C’est un jeu dans lequel tout le monde se range en file indienne.,11,F. Marbot,Bamb.,16,51
Pézay-tala ka pèmet kontwolé tout bagay ka woulé alaflouz.,Cette pesée permet de contrôler que tout se déroule sans anicroches.,15,J. Etienne,Trib. Ant. n° 47,16,55
Ou ka batjé alavolé pou débatjé alaglisé.,Tu t’embarques au vol pour débarquer en glissade.,9,Monchoachi,B.B.Z.,17,7
Man pa ni an mayengwen maré alakod kon ou ka wè mwen laa.,Je n’ai même pas un moustique en laisse tel que tu me vois. (Je ne possède pas un sou vaillant).,16,R. Confiant,Bitak.,17,13
"Chouval jòn, jòn kon alamanda dan an liziè.","Un cheval jaune, jaune comme l’alamanda sur une lisière.",13,I. et H. Cadoré,Chouv.,17,22
Tetfè ripati alanaj.,Tête-en fer repartit à la nage.,7,T. Léotin,L.L.,17,26
"Lamatinik, kantapou'y, tiré rad li lanvè pou mété'y alandwet.","La Martinique, pour sa part, ôta ses vêtements qui étaient à l'envers pour les mettre à l’endroit.",13,T. Léotin,L.L.,17,30
"Gadé alantou'w, ou pé pa fè ayen.","Regarde autour de toi, tu ne peux rien faire.",9,Jala,A.T.K.P.,17,36
Lavi-a alanvè atjolman mwen di zot.,"La vie est à l'envers de nos jours, vous dis-je.",9,C. Boulard,Beaur.,17,43
"Dépi yo té bizwen an pal, misié té ka réponn : « Alaso ! ».","Dès qu’ils avaient besoin d’aide, celui-ci s’écriait : « A l’assaut ! »",18,R. Confiant,Bitak.,17,50
Pengad fanm zié klè : yo ka konnen'w alavapè !,Fais attention aux femmes qui ont le yeux clairs : elles vous cocufient sans discontinuer.,14,G-H. Léotin,M. V.,17,60
Ou ka batjé alavolé pou débatjé alaglisé.,Tu t’embarques au vol pour débarquer en glissade.,9,Monchoachi,B.B.Z.,18,3
Pou fè wè es ou alawotè san ki an venn-ou.,Pour montrer si tu es à la hauteur du sang qui coule dans tes veines.,12,G.Mauvois,Ant.,18,9
"I té ka woulé zié fèmen, alawoulib.","Il roulait les yeux fermés, en roue libre.",10,R. Davidas,Ch.,18,13
"Dé fwa, ou tann, dé fwa, mandé Albè.","Deux fois, tu m’entends, deux fois, demande à Albert .",10,Maloulou,Dés.,18,17
Fok pa ou ni twop albimin adan san’w.,Il ne faut pas que tu aies trop d’albumine dans le sang.,8,,,18,21
Albinos sé moun ki pa enmen soley.,Les albinos sont des gens qui n’aiment pas le soleil.,7,,,18,25
"Alchimis kò'w, mi li, solda lafwa.","L'alchimiste de votre corps, le voici, soldat de foi.",9,E. Glissant,Léz.,18,31
Mariyan-Tetfè pa té ka alé pli lwen ki douvan lapot kay-li.,Marignan tête-en fer n’allait pas plus loin que le seuil de sa maison.,14,T. Léotin,L.L.,18,35
"Sélesten, monfi, mwen té déjà di’w pa té alé dèyè mwen.","Célestin, mon vieux, je t’avais déjà prévenu de ne pas me courtiser.",14,V. Coridun,Carn.,18,39
Alè lanmè té ka kouté latè palé.,Au temps où la mer écoutait les paroles de la terre.,10,T. Léotin,L.L.,18,43
"Alè, lanméri la ka rimété'y o nef.","En ce moment, la municipalité est en train de le remettre à neuf.",12,J. Massolin,N. K. M.,18,47
"Si ou lé aléjé loto-a, di Wobè désann atè.","Si tu veux alléger la voiture, demande à Robert de descendre.",9,,,18,51
Donminik té tibwen aléka gran mouvman listwa.,La Dominique était un peu à l’écart du grand mouvement de l’histoire.,7,G.H. Léotin,Ant. K. n°7,18,55
I dwet ka espéré nou alèkilé.,Elle doit nous attendre à l’heure qu’il est.,10,I. Césaire,C. N.J.,19,6
"Malè pou Aleksann, sé lè i té ka pitjé an tet monté.","Par malheur pour Alexandre, il remontait du fond à toute vitesse.",17,J. Massolin,N. K. M.,19,12
Chouval-bwa té ka tounnen-viré aléliwon.,Les chevaux de bois tournaient sans arrêt.,8,R. Confiant,K.Y.,19,18
Yo té ka fè kous kanno aléliwon Matinik.,On organisait des courses de canot partout en Martinique.,8,,,19,23
Sé kèsion-tala té ka konyen lespri'y alé-pou-viré.,Ces questions le tourmentaient sans répit.,10,R. Confiant,K.Y.,19,32
Ni telman alé-vini.,Il y a tellement d'allées et venues.,6,G. Mauvois,M.M.,19,39
Rété mas ka alé-vini nan rev.,Il y a encore des masques qui vont et viennent dans nos rêves.,8,Monchoachi,Nst.,19,43
I ka mété'y alez-li.,Il le met à son aise.,7,G. Mauvois,M.M.,19,47
An lespri timanmay an bagay ka pran laplas an lot alezman.,"Dans l'esprit des enfants, une chose en remplace une autre facilement.",14,G.H. Léotin,M.L.,19,53
Man ka fè alians-mwen aprézan épi zot ek épi tout désandans ké vini dèyè zot.,(Bible K.),15,,,19,59
"Alians-li sòti an dwet-li, tonbé.",Son alliance sortit de son doigt et tomba.,9,H. Bartéléry,T. A.,20,4
Sé djoubakè lizin Fon-Brilé a aliansé épi sé neg bitasion an.,Les ouvriers de l'usine de Fonds Brûlé s'allièrent aux nègres d'habitation.,14,R. Confiant,K.Y.,20,8
Télévizion-an ka pli aliéné timanmay-nou ki i ka wouvè lespri-yo.,La télévision aliène davantage nos enfants qu’elle ne leur ouvre l’esprit.,10,,,20,16
Man kwè sé alimaj ou a ki ni an tjak.,Je pense que c’est ton allumage qui a un problème.,10,,,20,22
Sé an manniè pou toujou alimanté lien ratachman-an.,C'est une manière de toujours alimenter le lien de rattachement .,11,H. Atine,A.S.D.,20,28
Boug-tala ni an ti manniè alimantè an kò’y.,Ce type a un comportement un peu alimentaire.,8,,,20,32
I té ka mété an kout sik dan tenbal aliminiom li a.,Il mété une pincée de sucre dans sa timbale en aluminium.,19,I et H. Cadoré,S. D. M.,20,36
Alin pa lé apwann ayen.,Aline ne veut rien apprendre.,9,N. Rosette,O. L.N.,20,40
Lè man té lékol man té enmen aljeb anpil.,"Quand j’étais à l’école, j’aimais beaucoup l’algèbre.",9,,,20,49
"Lè man té lawmé an Aljéri, man pa jen wè an « Hasma » trennen kò’y atè kon sa.","Quand j’étais dans l’armée en Algérie, je n’ai jamais vu un « Hasma » se traîner par terre de La sorte.",19,R. Confiant,J. D. D. B.,20,53
